teacher_id,blind_class,seen_acc_final,blind_acc_final,elapsed_sec
0,3,0.9415555555555556,0.014,2392.9272129535675
1,7,0.9188888888888889,0.229,2347.458153963089
2,1,0.9201111111111111,0.302,2356.5772671699524
3,5,0.9362222222222222,0.006,2387.5257983207703
4,9,0.9223333333333333,0.124,3923.9169731140137
